102|6|(第33周) 08月16日-08月22日|￥ 1430|￥ 2050|2014-03-13 10:31:32.278231|2014-03-13 10:31:32.278231|内地票房|2010年|37|m1905
103|7|(第33周) 08月16日-08月22日|￥ 1400|￥ 1400|2014-03-13 10:31:33.006036|2014-03-13 10:31:33.006036|内地票房|2010年|40|m1905
104|8|(第33周) 08月16日-08月22日|￥ 700|￥ 5250|2014-03-13 10:31:33.832560|2014-03-13 10:31:33.832560|内地票房|2010年|35|m1905
105|9|(第33周) 08月16日-08月22日|￥ 620|￥ 960|2014-03-13 10:31:34.215760|2014-03-13 10:31:34.215760|内地票房|2010年|38|m1905
106|1|(第34周) 08月23日-08月29日|￥ 9000|￥ 16300|2014-03-13 10:31:34.376073|2014-03-13 10:31:34.376073|内地票房|2010年|39|m1905
107|2|(第34周) 08月23日-08月29日|￥ 3200|￥ 3200|2014-03-13 10:31:34.842329|2014-03-13 10:31:34.842329|内地票房|2010年|41|m1905
108|3|(第34周) 08月23日-08月29日|￥ 2300|￥ 2300|2014-03-13 10:31:35.227932|2014-03-13 10:31:35.227932|内地票房|2010年|42|m1905
109|5|(第34周) 08月23日-08月29日|￥ 1200|￥ 64100|2014-03-13 10:31:35.537269|2014-03-13 10:31:35.537269|内地票房|2010年|29|m1905
110|6|(第34周) 08月23日-08月29日|￥ 1100|￥ 2500|2014-03-13 10:31:35.673020|2014-03-13 10:31:35.673020|内地票房|2010年|40|m1905
111|7|(第34周) 08月23日-08月29日|￥ 580|￥ 5280|2014-03-13 10:31:37.601430|2014-03-13 10:31:37.601430|内地票房|2010年|36|m1905
112|8|(第34周) 08月23日-08月29日|￥ 240|￥ 2290|2014-03-13 10:31:38.256155|2014-03-13 10:31:38.256155|内地票房|2010年|37|m1905
113|1|(第35周) 08月30日-09月05日|￥ 10115|￥ 10115|2014-03-13 10:31:38.904417|2014-03-13 10:31:38.904417|内地票房|2010年|43|m1905
114|2|(第35周) 08月30日-09月05日|￥ 3300|￥ 19600|2014-03-13 10:31:39.048509|2014-03-13 10:31:39.048509|内地票房|2010年|39|m1905
115|3|(第35周) 08月30日-09月05日|￥ 1240|￥ 4440|2014-03-13 10:31:39.215656|2014-03-13 10:31:39.215656|内地票房|2010年|41|m1905
116|4|(第35周) 08月30日-09月05日|￥ 580|￥ 2880|2014-03-13 10:31:39.313899|2014-03-13 10:31:39.313899|内地票房|2010年|42|m1905
117|6|(第35周) 08月30日-09月05日|￥ 420|￥ 64520|2014-03-13 10:31:39.696913|2014-03-13 10:31:39.696913|内地票房|2010年|29|m1905
118|7|(第35周) 08月30日-09月05日|￥ 300|￥ 2800|2014-03-13 10:31:39.975847|2014-03-13 10:31:39.975847|内地票房|2010年|40|m1905
119|8|(第35周) 08月30日-09月05日|￥ 175|￥ 5455|2014-03-13 10:31:40.195335|2014-03-13 10:31:40.195335|内地票房|2010年|36|m1905
120|9|(第35周) 08月30日-09月05日|￥ 70|￥ 2360|2014-03-13 10:31:40.502236|2014-03-13 10:31:40.502236|内地票房|2010年|37|m1905
121|1|(第36周) 09月06日-09月12日|￥ 10850|￥ 20965|2014-03-13 10:31:40.751293|2014-03-13 10:31:40.751293|内地票房|2010年|43|m1905
122|2|(第36周) 09月06日-09月12日|￥ 2600|￥ 2600|2014-03-13 10:31:42.155811|2014-03-13 10:31:42.155811|内地票房|2010年|44|m1905
123|3|(第36周) 09月06日-09月12日|￥ 1250|￥ 20850|2014-03-13 10:31:42.303846|2014-03-13 10:31:42.303846|内地票房|2010年|39|m1905
124|4|(第36周) 09月06日-09月12日|￥ 420|￥ 4860|2014-03-13 10:31:42.449802|2014-03-13 10:31:42.449802|内地票房|2010年|41|m1905
125|5|(第36周) 09月06日-09月12日|￥ 340|￥ 340|2014-03-13 10:31:42.991583|2014-03-13 10:31:42.991583|内地票房|2010年|45|m1905
126|6|(第36周) 09月06日-09月12日|￥ 190|￥ 64710|2014-03-13 10:31:43.160460|2014-03-13 10:31:43.160460|内地票房|2010年|29|m1905
127|8|(第36周) 09月06日-09月12日|￥ 111|￥ 2991|2014-03-13 10:31:43.649203|2014-03-13 10:31:43.649203|内地票房|2010年|42|m1905
128|9|(第36周) 09月06日-09月12日|￥ 83|￥ 2883|2014-03-13 10:31:44.075322|2014-03-13 10:31:44.075322|内地票房|2010年|40|m1905
129|10|(第36周) 09月06日-09月12日|￥ 80|￥ 80|2014-03-13 10:31:44.829345|2014-03-13 10:31:44.829345|内地票房|2010年|46|m1905
130|1|(第37周) 09月13日-09月19日|￥ 7800|￥ 28765|2014-03-13 10:31:45.630107|2014-03-13 10:31:45.630107|内地票房|2010年|43|m1905
131|2|(第37周) 09月13日-09月19日|￥ 4500|￥ 4500|2014-03-13 10:31:47.998750|2014-03-13 10:31:47.998750|内地票房|2010年|47|m1905
132|3|(第37周) 09月13日-09月19日|￥ 2000|￥ 4600|2014-03-13 10:31:48.490197|2014-03-13 10:31:48.490197|内地票房|2010年|44|m1905
133|4|(第37周) 09月13日-09月19日|￥ 410|￥ 21260|2014-03-13 10:31:48.730850|2014-03-13 10:31:48.730850|内地票房|2010年|39|m1905
134|5|(第37周) 09月13日-09月19日|￥ 290|￥ 630|2014-03-13 10:31:48.922146|2014-03-13 10:31:48.922146|内地票房|2010年|45|m1905
135|6|(第37周) 09月13日-09月19日|￥ 92|￥ 4952|2014-03-13 10:31:49.050219|2014-03-13 10:31:49.050219|内地票房|2010年|41|m1905
136|7|(第37周) 09月13日-09月19日|￥ 65|￥ 64775|2014-03-13 10:31:49.236793|2014-03-13 10:31:49.236793|内地票房|2010年|29|m1905
137|8|(第37周) 09月13日-09月19日|￥ 60|￥ 130|2014-03-13 10:31:49.628371|2014-03-13 10:31:49.628371|内地票房|2010年|48|m1905
138|9|(第37周) 09月13日-09月19日|￥ 57|￥ 137|2014-03-13 10:31:49.786948|2014-03-13 10:31:49.786948|内地票房|2010年|46|m1905
139|1|(第38周) 09月20日-09月26日|￥ 8200|￥ 8200|2014-03-13 10:31:50.413535|2014-03-13 10:31:50.413535|内地票房|2010年|49|m1905
140|2|(第38周) 09月20日-09月26日|￥ 6700|￥ 35465|2014-03-13 10:31:50.976913|2014-03-13 10:31:50.976913|内地票房|2010年|43|m1905
141|3|(第38周) 09月20日-09月26日|￥ 4800|￥ 9300|2014-03-13 10:31:51.127956|2014-03-13 10:31:51.127956|内地票房|2010年|47|m1905
142|4|(第38周) 09月20日-09月26日|￥ 1050|￥ 5650|2014-03-13 10:31:51.262624|2014-03-13 10:31:51.262624|内地票房|2010年|44|m1905
143|5|(第38周) 09月20日-09月26日|￥ 210|￥ 210|2014-03-13 10:31:55.248365|2014-03-13 10:31:55.248365|内地票房|2010年|50|m1905
144|6|(第38周) 09月20日-09月26日|￥ 160|￥ 790|2014-03-13 10:31:55.420644|2014-03-13 10:31:55.420644|内地票房|2010年|45|m1905
145|8|(第38周) 09月20日-09月26日|￥ 46|￥ 21306|2014-03-13 10:31:56.066478|2014-03-13 10:31:56.066478|内地票房|2010年|39|m1905
146|9|(第38周) 09月20日-09月26日|￥ 36|￥ 166|2014-03-13 10:31:56.174226|2014-03-13 10:31:56.174226|内地票房|2010年|48|m1905
147|1|(第39周) 09月27日-10月03日|￥ 10890|￥ 10890|2014-03-13 10:31:57.804219|2014-03-13 10:31:57.804219|内地票房|2010年|51|m1905
148|2|(第39周) 09月27日-10月03日|￥ 3680|￥ 39144|2014-03-13 10:31:58.004156|2014-03-13 10:31:58.004156|内地票房|2010年|43|m1905
149|3|(第39周) 09月27日-10月03日|￥ 2680|￥ 2680|2014-03-13 10:31:58.892969|2014-03-13 10:31:58.892969|内地票房|2010年|52|m1905
150|4|(第39周) 09月27日-10月03日|￥ 2560|￥ 10560|2014-03-13 10:31:59.047642|2014-03-13 10:31:59.047642|内地票房|2010年|49|m1905
151|5|(第39周) 09月27日-10月03日|￥ 2060|￥ 11360|2014-03-13 10:31:59.247580|2014-03-13 10:31:59.247580|内地票房|2010年|47|m1905
152|6|(第39周) 09月27日-10月03日|￥ 383|￥ 6033|2014-03-13 10:31:59.398838|2014-03-13 10:31:59.398838|内地票房|2010年|44|m1905
153|7|(第39周) 09月27日-10月03日|￥ 310|￥ 310|2014-03-13 10:32:00.092737|2014-03-13 10:32:00.092737|内地票房|2010年|53|m1905
154|8|(第39周) 09月27日-10月03日|￥ 175|￥ 385|2014-03-13 10:32:00.822131|2014-03-13 10:32:00.822131|内地票房|2010年|50|m1905
155|10|(第39周) 09月27日-10月03日|￥ 38|￥ 828|2014-03-13 10:32:01.536636|2014-03-13 10:32:01.536636|内地票房|2010年|45|m1905
156|1|(第40周) 10月04日-10月10日|￥ 11571|￥ 22461|2014-03-13 10:32:01.896964|2014-03-13 10:32:01.896964|内地票房|2010年|51|m1905
157|2|(第40周) 10月04日-10月10日|￥ 4440|￥ 43584|2014-03-13 10:32:02.075191|2014-03-13 10:32:02.075191|内地票房|2010年|43|m1905
158|3|(第40周) 10月04日-10月10日|￥ 2825|￥ 5505|2014-03-13 10:32:02.241275|2014-03-13 10:32:02.241275|内地票房|2010年|52|m1905
159|4|(第40周) 10月04日-10月10日|￥ 2648|￥ 13208|2014-03-13 10:32:02.395364|2014-03-13 10:32:02.395364|内地票房|2010年|49|m1905
160|5|(第40周) 10月04日-10月10日|￥ 2193|￥ 13553|2014-03-13 10:32:02.610142|2014-03-13 10:32:02.610142|内地票房|2010年|47|m1905
161|6|(第40周) 10月04日-10月10日|￥ 482|￥ 792|2014-03-13 10:32:02.770666|2014-03-13 10:32:02.770666|内地票房|2010年|53|m1905
162|7|(第40周) 10月04日-10月10日|￥ 427|￥ 427|2014-03-13 10:32:02.901493|2014-03-13 10:32:02.901493|内地票房|2010年|54|m1905
163|8|(第40周) 10月04日-10月10日|￥ 172|￥ 557|2014-03-13 10:32:03.094296|2014-03-13 10:32:03.094296|内地票房|2010年|50|m1905
164|9|(第40周) 10月04日-10月10日|￥ 89|￥ 6122|2014-03-13 10:32:03.239015|2014-03-13 10:32:03.239015|内地票房|2010年|44|m1905
165|10|(第40周) 10月04日-10月10日|￥ 88|￥ 88|2014-03-13 10:32:03.722934|2014-03-13 10:32:03.722934|内地票房|2010年|55|m1905
166|1|(第41周) 10月11日-10月17日|￥ 3299|￥ 25760|2014-03-13 10:32:04.034591|2014-03-13 10:32:04.034591|内地票房|2010年|51|m1905
